date,location,age_group,value
2020-11-20,GM,35-59,1678
2020-11-20,GM,60-79,2803
2020-11-20,GM,80+,2785
2020-11-20,GM10,00-04,0
2020-11-20,GM10,00+,101
2020-11-20,GM10,05-14,1
2020-11-20,GM10,15-34,15
2020-11-20,GM10,35-59,30
2020-11-20,GM10,60-79,35
2020-11-20,GM10,80+,20
2020-11-20,GM04,00-04,2
2020-11-20,GM04,00+,141
2020-11-20,GM04,05-14,0
2020-11-20,GM04,15-34,5
2020-11-20,GM04,35-59,39
2020-11-20,GM04,60-79,48
2020-11-20,GM04,80+,47
2020-11-20,GM06,00-04,3
2020-11-20,GM06,00+,398
2020-11-20,GM06,05-14,3
2020-11-20,GM06,15-34,38
2020-11-20,GM06,35-59,92
2020-11-20,GM06,60-79,143
2020-11-20,GM06,80+,119
2020-11-20,GM03,00-04,0
2020-11-20,GM03,00+,59
2020-11-20,GM03,05-14,1
2020-11-20,GM03,15-34,4
2020-11-20,GM03,35-59,12
2020-11-20,GM03,60-79,17
2020-11-20,GM03,80+,25
2020-11-20,GM07,00-04,25
2020-11-20,GM07,00+,1945
2020-11-20,GM07,05-14,12
2020-11-20,GM07,15-34,180
